Building Name,Address,Broker,Broker Phone
Sunny Palms Inn,"1700 S Federal Hwy, Lake Worth Beach, FL, 33460",Evan Richardson,954-245-3501
FOR SALE CAPE 720 CAPE CORAL FLA,"720 SW 3rd St, Cape Coral, FL, 33991",Arthur Pappas,207-475-8179
Rustic Manor Apartments,"50 SE 12th Ave, Fort Lauderdale, FL, 33301",Dan Dratch,954-312-1677
Sunset Cove,"1142 Sunset Point Rd, Clearwater, FL, 33755",Sebastian Harris,813-771-0641
Royal Palm Apartments,"2771 Royal Palm Ave, Fort Myers, FL, 33901",Michael Frangedis,727-543-5055
Camp Margaritaville Auburndale RV Resort & Cabana Cabins,"361 Denton Ave, Auburndale, FL, 33823",Michael Nissley,561-479-1588
Brandychase Condominiums (23 out of 168 Units Community),"4325 Aegean Dr, Tampa, FL, 33611",Joshua Teplitzky,813-433-0813
Skyline Apartments,"907 Skyline Blvd, Cape Coral, FL, 33991","Andrew Green, CCIM",954-804-2184
Windmill Point - 70 Units,"2501 N Alafaya Trail, Orlando, FL, 32826",N. Joe LaFleur,407-495-1728
Windsor House Apartments,"1401 SW 67th Ave, Miami, FL, 33144",Evan Kristol,954-245-3459
444 Ponce De Leon Blvd,"444 Ponce De Leon Blvd, Coral Gables, FL, 33134",Gabriela Rodino,305-338-5355
Urban Square Apartments,"1625 Mercy Dr, Orlando, FL, 32808",N. Joe LaFleur,407-495-1728
Riverside Co-Living Complex - 1110 NW 7 St & 626 NW 11 AVE,"1121 NW 7th St, Miami, FL, 33136",Mauricio Villasuso,305-340-8901
Siera Lakeview Apartments,"2405 NW 135th St, Miami, FL, 33167",Miguelangel Salazar-Pesce,786-942-2177
Bella Sylvia,"1 Clyde Morris Blvd, Daytona Beach, FL, 32119",Dino Dodani,386-679-0888
Pinecrest Villas,"2008 Holly Ct, Tampa, FL, 33613",Sebastian Harris,813-771-0641
The Residences at Page Park,"200 Dahlia Lane, Fort Myers, FL, 33907",Adam Podbelski,813-697-1475
Lauderdale East Multifamily,"700 SW 15 Avenue Fort Lauderdale, FL, Fort Lauderdale, FL, 33312",Lorenzo Rubio,561-339-9717
644 W Caladium Circle,"644 W Caladium Circle, Panama City Beach, FL, 32413",Marcy O'Donnell,848-220-5555
