Building Name,Address,Broker,Broker Phone
Industrial Warehouse-Next to Corpus Christi Int'l Airport,"1232 Joe Mireur Rd, Corpus Christi, TX, 78406",Patrick Serna,210-400-7131
"4% rate, $2500+ cash flow, 37% CoC return","2904 Sweeney Ln, Austin, TX, 78723",Max Son,512-415-6244
901 N Maryland Street,"901 N Maryland Street, Alton, TX, 78573",Myra Caridad García,956-648-6456
"2114 Wayside Dr, Houston, TX 77011","2114 Wayside Dr, Houston, TX, 77011",Donnie Chang,713-939-8181
4314 Reed Rd,"4314 Reed Rd, Houston, TX, 77051",Frank Tajgardoun,713-542-6412
7330 Lindencrest St,"7330 Lindencrest St, Houston, TX, 77061",Jacob Kahn,334-604-3856
Corpus Christi Neighborhood Storage Facility,"1605 10th St, Corpus Christi, TX, 78404",Robert Cooper,361-980-6016
"RV PARK JAW DROPPING DEAL OF THE YEAR - ROCKPORT, TX","1737 FM 1781, Rockport, TX, 78382",Annette Scott,512-803-7889
Cold Spring Liquor - Leander,"15609 Ronald Reagan Blvd, Suite B-100, Leander, TX, 78641",Emilie Niekdam,512-474-5557
399 CR 201 Carancahua Blvd Income Producing RV Park,"201 Carancahua St, Sargent, TX, 77414",Myers Jackson,469-799-0020
The Barracks Townhome,"134 Tang Cake Dr, College Station, TX, 77845",Meredith Neely,979-255-1097
Turnkey Car Wash Portfolio in High-Traffic Beaumont Corridor,"5210 39th St, Groves, TX, 77619",Alexander Pavone,480-622-0050
2324 2328 62nd St. Seller Finance,"2328 62nd St, Lubbock, TX, 79412",Josh Allen,806-239-5313
Big Box Franchise Gym For Sale!,"Southwest Fwy, Sugar Land, TX, 77478",Harold McGee,512-626-6470
Alamo Beach Storage,"364 Washington Ave, Port Lavaca, TX, 77979",Craig Rice,713-417-1626
YOU CANNOT BUILD IT FOR LESS! La Buena Vida RV Park,"1321 Rodeo Dr, Aransas Pass, TX, 78336",Annette Scott,512-803-7889
"350 Cr 442 Old Texas Hwy 35, Blessing, TX 77419","350 Cr 442 Old Texas Hwy 35, Blessing, TX, 77419",BRANDI MORRIS,979-943-8744
8-Unit Apt Near Texas A&M - Owner Financing Available!,"1702 Bois D'Arc St, Commerce, TX, 75428",Dan Cook,713-231-1125
Gonzales Self Storage,"922 St Peter St, Gonzales, TX, 78629",Jeremy Douglas,850-591-2090
Cisco Storage,"108 E 9th St, Cisco, TX, 76437",Derek Peterson,325-698-9960
Central Park Condominiums,"2210 Westview Blvd, Conroe, TX, 77304",Travis Clark,805-404-7272
15486 E Mile 19 Road,"15486 E Mile 19 Road, Edinburg, TX, 78542",Mario Baez,956-827-0170
NEWLY BUILT SILVER OAKS RV PARK,"1376 Longoria Rd, Aransas Pass, TX, 78336",Annette Scott,512-803-7889
ALMOST PARADISE RV PARK ON SAN ANTONIO BAY,"310 Sgt Rodney Taylor Ave, Seadrift, TX, 77983",Annette Scott,512-803-7889
REDUCED $499K COPANO BAY 26-SITE RV PARK WATERVIEWS,"103 Salt Flat Rd, Bayside, TX, 78340",Annette Scott,512-803-7889
16608 Garrett Road,"Garrett Rd, Houston, TX, 77044",Bruce Ham,832-271-7001
